passenger_id,route,bus,start_time,end_time,count,stops
P000162,r7,bus045,15,20,10,Salt Lake -> Karunamoyee
P000523,r7,bus045,15,20,8,Salt Lake -> Karunamoyee
P000261,r38,bus027,5,25,10,Minto Park -> Esplanade -> Ultadanga -> Karunamoyee -> Salt Lake Sector V
P001413,r0,bus029,10,25,10,Unitech -> Eco Space -> Aliah University -> Daber More
P000074,r3,bus207,10,15,9,Kalighat -> Minto Park
P000712,r5,bus060,5,20,9,Behala -> Tollygunge -> Hazra -> Esplanade
P002453,r7,bus045,5,20,9,Shyambazar -> Beleghata -> Salt Lake -> Karunamoyee
P002352,r1,bus009,10,50,9,MG Road -> Shyambazar -> Sinthee More -> Baranagar -> Dunlop -> BT Road -> Tobin Road -> Khardah -> Titagarh
P001425,r3,bus207,5,20,5,Hazra -> Kalighat -> Minto Park -> Esplanade
P001786,r23,bus016,5,15,5,Dumdum -> VIP Road -> Ultadanga
P001415,r12,bus094,5,25,7,Airport Gate No. 1 -> VIP Road -> Ultadanga -> Phoolbagan -> Sealdah
P002199,r46,bus025,10,25,7,Narendrapur -> Sonarpur -> Garia Station Road -> Ruby Hospital
P000355,r12,bus094,10,25,5,VIP Road -> Ultadanga -> Phoolbagan -> Sealdah
P001916,r16,bus007,5,20,3,Shibpur -> Alipore -> Tollygunge -> Garia
P001384,r40,bus080,10,20,1,Kalighat -> Jadavpur -> Garia
P001834,r17,bus031,10,25,2,Ultadanga -> Phoolbagan -> Sealdah -> Park Street
P002446,r8,bus015,10,25,2,Salt Lake -> Ultadanga -> Esplanade -> Howrah Station
P001343,r3,bus207,10,25,10,Kalighat -> Minto Park -> Esplanade -> Ultadanga
P000356,r24,bus003,15,20,10,Sealdah -> Park Circus
P000017,r3,bus207,15,25,8,Minto Park -> Esplanade -> Ultadanga
P000666,r26,bus026,10,15,9,Salt Lake -> New Town
P002378,r1,bus009,10,30,10,MG Road -> Shyambazar -> Sinthee More -> Baranagar -> Dunlop
P000467,r3,bus207,25,30,5,Ultadanga -> Salt Lake
P001653,r6,bus228,5,10,4,Bosepukur -> Gariahat
P002815,r52,bus049,10,20,9,Maidan -> Rabindra Sadan -> Bhowanipore
P001515,r11,bus217,15,25,8,Esplanade -> Maidan -> Rabindra Sadan
P002373,r3,bus207,25,30,2,Ultadanga -> Salt Lake
